,Player,Ht,Wt,Yr,G,S,%Min,ORtg,%Poss,%Shots,eFG%,TS%,OR%,DR%,ARate,TORate,Blk%,Stl%,FC/40,FD/40,FTRate,FTM-A,FT-Pct,2PM-A,2P-Pct,3PM-A,3P-Pct,Prev_Team
30,Liam McNeeley,6-7,210,Fr,27,26,61.1,109.5,24.2438,25.3423,45.5,52.9,3.7,18.7323,13.1,14.8,0.8,1.1,2.5,4.6323,41.0344,110-127,0.86678,72-165,0.436,46-145,0.317,Connecticut 
10,Hassan Diarra,6-2,195,Sr,35,28,68.3,115.2491,20.7,15.6,47.4,53.7,6.1,10.1,35.625,23.1,1.3,3.685,3.2,3.1,37.9425,68-81,0.840176,67-134,0.5,23-80,0.287,Connecticut 
5,Tarris Reed,6-10,260,Jr,35,1,48.9,126.67,22.9,20.7,67,67.1,17.62,27.512,10.9,16.4,9.126,2,5.5,4.6344,49.8,65-101,0.644,136-203,0.67047,0-0,0,Connecticut 
20,Aidan Mahaney,6-3,185,Jr,34,5,29.3,106.9,20.9,23.5,46,49.5,1.2,6.6,19.3,14.2,0,1,4.8,3,23.9,25-33,0.758,29-74,0.392,23-64,0.359,Connecticut 
11,Alex Karaban,6-8,225,Jr,33,33,83.3158,122.0171,19.6,22,53.0495,56.9465,5.9,12.1,14.5,11.5298,4.9194,1,2.2354,3.1,26.9,82-99,0.828221,93-172,0.541,68-196,0.347,Connecticut 
1,Solo Ball,6-3,190,So,35,35,78.2343,124.2115,19.4,24.1,57.0192,60.1194,2.8,11,9.8,10.1158,1.3,1.4,2.5,3,23.3,74-88,0.841168,67-139,0.482,99-239,0.414123,Connecticut 
35,Samson Johnson,6-10,225,Sr,34,34,46.4,132.119,16.1,15.1,76.6,77.1,9.2324,13.2,10.5,21,8.731,2.2,6.1,2.8,35.5,38-50,0.76,108-141,0.7664,0-0,0,Connecticut 
3,Jaylin Stewart,6-7,215,So,35,12,44.1,123.0141,14.1,15.1,63.4,64.4,6.2,10.1,9.5,17.6,2.2,0.5,3.7,1.9,18.7,18-25,0.72,49-68,0.721,24-66,0.364,Connecticut 
23,Jayden Ross,6-7,205,So,33,1,26.4,107.1,12.7,14.9,46.8,47.6,3.1,12.7,12.3,14.3,4,1.5,4.6,1.3,7.6,4-6,0.667,22-34,0.647,10-45,0.222,Connecticut 
0,Ahmad Nowell,6-0,195,Fr,18,,8.1,100.2,20.7,17.2,41.1,43.1,7.8,10.4,29.7,23.4,3,2.1,3.5,2.6,25,4-7,0.571,7-12,0.583,3-16,0.188,Connecticut 
24,Youssouf Singare,6-10,230,So,16,,3,112.9,8.5,6.7,75,75,9.2,25.6,4,34.8,8.2,3,10.5,0.8,0,0-0,0,3-4,0.75,0-0,0,Connecticut 
4,Isaiah Abraham,6-7,205,Fr,9,,2.3,109.3,19.1,23.6,59.1,61,7.8,10.9,0,19.7,0,1.9,6.1,1.9,9.1,1-1,0.999,2-4,0.5,3-7,0.429,Connecticut 
5,Silas Demary,6-5,195,So,33,33,78.6325,110.6,22.7,22.3,48.5,55.2,2.8,11.2,18.949,18.6,0.7,3.1214,3.1,4.9249,48.2185,127-158,0.804352,72-173,0.416,58-155,0.374,Geogria 
11,Malachi Smith,6-0,175,Jr,32,30,67.1,109,24.4412,21.4,48.5,53,2.2,10.6,38.114,19,0.1,2.3,2.5,4.1,40.8347,79-109,0.725,83-187,0.444,31-80,0.388,Dayton
1,Alec Millender,6-1,185,Sr,29,26,77.9353,123.4135,13.9,12.8,60.28,63.36,0.9,6.6,22.133,18.8,0.3,1.5,3.5,2.2,31.9,42-53,0.792,25-49,0.51,50-117,0.427,IU Indianapolis
3,Dwayne Koroma,6-8,205,Jr,29,28,67.9,109.2,20.8,17.7,71.82,67.611,9.9261,20.6193,15.4,25.4,1,2.8373,4.3,3.7,48.0187,45-96,0.469,136-186,0.73111,5-14,0.357,Le Moyne